MRUN,GENERO,EDAD,TRAMO_EDAD,COMUNA,REGION,REGION_ORD,TIPO_COLEGIO,GRADO,ZONA,SUBSECTOR,SECTOR
439,Hombre,49,40-49,LA FLORIDA,Metropolitana,Metropolitana,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
1750,Mujer,50,50-59,SAN PEDRO DE LA PAZ,Biobío,Biobío,Particular Pagado,Media H-C (Jóvenes),Urbana,ECONOMÍA Y SOCIEDAD,Formación General
2327,Hombre,38,30-39,SAN PEDRO DE LA PAZ,Biobío,Biobío,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
2560,Mujer,56,50-59,VIÑA DEL MAR,Valparaíso,Valparaíso,Particular Pagado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
3418,Mujer,44,40-49,PUERTO MONTT,Los Lagos,Los Lagos,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
3907,Hombre,48,40-49,VIÑA DEL MAR,Valparaíso,Valparaíso,Particular Subvencionado,Media H-C (Jóvenes),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
4215,Hombre,59,50-59,LAS CABRAS,O'Higgins,O'Higgins,Particular Subvencionado,Media H-C (Jóvenes),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
5330,Mujer,59,50-59,CAÑETE,Biobío,Biobío,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
5850,Mujer,43,40-49,LA SERENA,Coquimbo,Coquimbo,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
6806,Mujer,44,40-49,SAN BERNARDO,Metropolitana,Metropolitana,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
7440,Mujer,32,30-39,PENCO,Biobío,Biobío,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
7912,Mujer,63,60+,HUARA,Tarapacá,Tarapacá,Municipal,Básica (Niños),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
8135,Mujer,35,30-39,COLINA,Metropolitana,Metropolitana,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
8255,Mujer,42,40-49,CALBUCO,Los Lagos,Los Lagos,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
8877,Hombre,29,< 30,PURRANQUE,Los Lagos,Los Lagos,Municipal,Media H-C (Jóvenes),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
9214,Mujer,42,40-49,ILLAPEL,Coquimbo,Coquimbo,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
10237,Mujer,52,50-59,IQUIQUE,Tarapacá,Tarapacá,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
10381,Mujer,45,40-49,VALPARAÍSO,Valparaíso,Valparaíso,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
10631,Mujer,25,< 30,LA REINA,Metropolitana,Metropolitana,Particular Pagado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
11106,Mujer,48,40-49,SAN MIGUEL,Metropolitana,Metropolitana,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
11164,Mujer,37,30-39,PUERTO MONTT,Los Lagos,Los Lagos,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
12052,Mujer,52,50-59,CHÉPICA,O'Higgins,O'Higgins,Municipal,Básica (Niños),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
12541,Mujer,41,40-49,PADRE LAS CASAS,Araucanía,Araucanía,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
13253,Mujer,28,< 30,LA FLORIDA,Metropolitana,Metropolitana,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
13323,Hombre,26,< 30,SAN BERNARDO,Metropolitana,Metropolitana,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
13721,Mujer,42,40-49,CASABLANCA,Valparaíso,Valparaíso,Municipal,Básica (Niños),Urbana,FORMACIÓN CIUDADANA,Formación General
13804,Hombre,39,30-39,BUIN,Metropolitana,Metropolitana,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
14055,Mujer,25,< 30,CALAMA,Antofagasta,Antofagasta,Particular Subvencionado,Educación Especial,Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
14080,Mujer,36,30-39,VALDIVIA,Los Ríos,Los Ríos,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
14575,Mujer,27,< 30,COPIAPÓ,Atacama,Atacama,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
14690,Mujer,34,30-39,MAIPÚ,Metropolitana,Metropolitana,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
14970,Mujer,66,60+,COLINA,Metropolitana,Metropolitana,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
15041,Mujer,43,40-49,SAN RAMÓN,Metropolitana,Metropolitana,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
15095,Hombre,23,< 30,ESTACIÓN CENTRAL,Metropolitana,Metropolitana,Particular Subvencionado,Media TP y Artística (Jóvenes),Urbana,EDUCACIÓN CIUDADANA,Formación General
15884,Mujer,36,30-39,PUERTO MONTT,Los Lagos,Los Lagos,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
16387,Hombre,31,30-39,VALPARAÍSO,Valparaíso,Valparaíso,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
16603,Mujer,71,60+,TALCAHUANO,Biobío,Biobío,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
16607,Mujer,29,< 30,TALAGANTE,Metropolitana,Metropolitana,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
16864,Mujer,38,30-39,PEÑAFLOR,Metropolitana,Metropolitana,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
17496,Mujer,32,30-39,CHIMBARONGO,O'Higgins,O'Higgins,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
