NOM_COM_RBD,COD_DEPE2,COD_ENSE2,NOM_PLAN_EST,NOM_SUBSECTOR,TIPO_SUBSECTOR,TOTAL_DOCENTES
ALGARROBO,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),ARTES VISUALES,2,16
ALGARROBO,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),CIENCIAS NATURALES,2,16
ALGARROBO,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),EDUCACIÓN FÍSICA Y SALUD,2,5
ALGARROBO,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",2,16
ALGARROBO,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),IDIOMA EXTRANJERO: INGLÉS,2,3
ALGARROBO,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),LENGUAJE Y COMUNICACIÓN,2,17
ALGARROBO,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),MATEMÁTICA,2,18
ALGARROBO,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),MÚSICA,2,12
ALGARROBO,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),ORIENTACIÓN,2,22
ALGARROBO,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),RELIGIÓN,2,1
ALGARROBO,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),TECNOLOGÍA,2,18
ALGARROBO,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),ARTES VISUALES,2,4
ALGARROBO,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),CIENCIAS NATURALES,2,3
ALGARROBO,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),EDUCACIÓN FÍSICA Y SALUD,2,4
ALGARROBO,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",2,4
ALGARROBO,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),IDIOMA EXTRANJERO: INGLÉS,2,3
ALGARROBO,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),LENGUA Y LITERATURA,2,4
ALGARROBO,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),MATEMÁTICA,2,4
ALGARROBO,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),MÚSICA,2,3
ALGARROBO,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),ORIENTACIÓN,2,8
ALGARROBO,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),RELIGIÓN,2,1
ALGARROBO,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),TECNOLOGÍA,2,5
